Year,City,State,Place,High school graduate,GED or alternative,"Some college, less than 1 year","Some college, 1+ years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree,Total population 25+
2014,Los Angeles,06,44000,461722,37895,101004,362610,151823,535463,171914,68824,32404,2568460
2015,Los Angeles,06,44000,474115,39370,101951,367726,154486,553583,180004,68956,33569,2615382
2016,Los Angeles,06,44000,476667,41410,102561,370951,158229,566474,187372,70748,34199,2644815
2017,Los Angeles,06,44000,481561,41761,105020,374049,162892,584132,194456,72249,36033,2685526
2018,Los Angeles,06,44000,483632,42830,106181,376609,165934,598869,203891,74495,37065,2712615
2019,Los Angeles,06,44000,482699,43587,107127,374683,170318,619287,208695,76566,37917,2738015
2020,Los Angeles,06,44000,473020,47591,113071,370871,175021,644695,219500,81925,40024,2767578
2021,Los Angeles,06,44000,463253,48310,112890,355356,170931,645336,219934,81058,40439,2727919
2022,Los Angeles,06,44000,461986,50136,115242,349354,170399,652185,226283,82514,41798,2731538
2023,Los Angeles,06,44000,455581,51541,119280,336473,173101,671408,237174,84024,43574,2739889
