Year,City,State,Place,High school graduate,GED or alternative,"Some college, less than 1 year","Some college, 1+ years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree,Total population 25+
2014,New York,36,51000,1196719,201404,190413,633558,359585,1182090,568556,171663,79086,5723275
2015,New York,36,51000,1192043,208014,192088,634783,366071,1219071,591788,174777,82560,5801324
2016,New York,36,51000,1188696,214018,196441,632760,375851,1246538,610225,177697,85065,5851772
2017,New York,36,51000,1213680,223570,199984,629800,383693,1281786,639367,183138,87488,5969948
2018,New York,36,51000,1199586,222031,200903,615058,379457,1292814,648346,187909,88176,5923498
2019,New York,36,51000,1204009,222575,204467,608077,375956,1315727,662673,191803,91076,5935215
2020,New York,36,51000,1175601,224026,210863,596392,382261,1340776,692600,194559,94276,5933426
2021,New York,36,51000,1225817,236712,225678,608845,401996,1417437,731176,202955,99510,6191695
2022,New York,36,51000,1193069,237375,225884,589565,395246,1423801,736281,202396,101196,6126610
2023,New York,36,51000,1158314,239670,230106,574329,395169,1439826,752804,203289,103101,6090653
